event,ideology,text
Supreme Court Denies Health Care Workers' Religious Challenge to NY Vaccine Mandate,liberal,"WASHINGTON — The Supreme Court on Monday refused to block New York’s requirement that health care workers be vaccinated against the coronavirus even when they cite religious objections.
As is often the court’s practice in rulings on emergency applications, its unsigned order included no reasoning. But Justice Neil M. Gorsuch filed a 14-page dissent saying that the majority had betrayed the court’s commitment to religious liberty.
Justice Samuel A. Alito Jr. joined Justice Gorsuch’s dissent. Justice Clarence Thomas also said he would have blocked the vaccine requirement, but he gave no reasons...."
Supreme Court Denies Health Care Workers' Religious Challenge to NY Vaccine Mandate,center,"The Supreme Court on Monday turned down two requests to block New York’s vaccine mandate for health care workers. Two groups of health care workers are challenging the mandate, arguing that it violates their constitutional right to freely exercise their religion. But over the public dissents of three conservative justices, the court denied the workers’ requests to put the mandate on hold while litigation continues.
The dispute centers on a regulation issued by New York’s state health department that requires all health care workers in the state to be vaccinated against COVID-19 unless..."
Supreme Court Denies Health Care Workers' Religious Challenge to NY Vaccine Mandate,conservative,"For the second time in less than two months, Justices Amy Coney Barrett and Brett Kavanaugh joined with Chief Justice John Roberts and the Supreme Court’s three progressives (Justices Stephen Breyer, Sonia Sotomayor, and Elena Kagan) to uphold a state vaccine mandate over a religious-liberty challenge by medical professionals.
This time, it was New York’s vaccine mandate, which initially included an exemption for religious objectors. These objectors included some Catholics and other Christians who oppose abortion. The vaccines are derived in part from abortion — specifically, from fetal-cell lines used in..."
House Republicans Launch Investigation Into Biden Family,liberal,"House Republicans on Wednesday opened their long-promised investigation into President Joe Biden and his family, wielding the power of their new majority to demand information from the Treasury Department and former Twitter executives as they laid the groundwork for public hearings.
“Now that Democrats no longer have one-party rule in Washington, oversight and accountability are coming,” Rep. James Comer, chairman of the House Oversight Committee, said in a statement.
The Republican-led committee sent a series of letters requesting financial information from the Treasury Department about financial transactions by members of..."
House Republicans Launch Investigation Into Biden Family,center,"New House Oversight and Accountability Committee Chairman James Comer (R-Ky.) on Wednesday launched the GOP’s long-awaited investigation into President Biden and his family’s finances, requesting information from the Treasury Department.
Comer sent a letter to Treasury Secretary Janet Yellen asking for documents and information on Biden’s family businesses, including any suspicious activity reports (SARs) generated by banks in relation to the Biden family. Comer said in the letter that his committee is investigating Biden’s involvement in his family’s “foreign business practices and international influence peddling schemes.”
Republicans have been preparing to..."
House Republicans Launch Investigation Into Biden Family,conservative,"The House Oversight Committee informed former Twitter executives Wednesday that they are expected to testify at an early February hearing on the platform’s decision to censor The Post’s October 2020 reporting on documents from first son Hunter Biden’s laptop.
Twitter barred distribution of articles that linked President Biden to his son’s foreign business relationships weeks ahead of the 2020 election, claiming without evidence that the articles violated a “hacked materials” policy.
Committee Chairman James Comer (R-Ky.) told former Twitter officials Vijaya Gadde, Yoel Roth and James Baker that he will..."
What Did Republicans Reveal About the Alleged Biden Family Briery Scheme?,liberal,"Senator Chuck Grassley on Thursday released the FBI report that Republicans claim proves the Bidens accepted bribes from Ukraine. But there’s just one problem: There’s still no evidence.
House Republicans have accused the Biden family of corruption for months but have been unable to provide any actual evidence linking President Joe Biden or his son Hunter to any wrongdoing. The GOP has repeatedly insisted that the just-released FBI document, which House members were initially allowed to see in June, proves the two men accepted bribes.
But this is an unverified form, and it relies on a..."
What Did Republicans Reveal About the Alleged Biden Family Briery Scheme?,center,"New details from a previously redacted FBI document claim that the owner of Ukrainian gas company Burisma thought Hunter Biden was dumber than his dog.
Republican Senator Chuck Grassley of Iowa on Thursday dispersed more details from the FBI's FD-1023 document that has been claimed for months by Grassley and House Oversight Committee Chairman James Comer of Kentucky to contain ""credible"" evidence that President Joe Biden and his son engaged in questionable business dealings.
The document from June 2020 says that Joe and Hunter Biden each received $5 million from Mykola Zlochevsky, a former elected official and current owner of..."
What Did Republicans Reveal About the Alleged Biden Family Briery Scheme?,conservative,"The compelling congressional testimony of two IRS whistleblower agents has established three things.
First, the investigation into Biden corruption — millions of dollars pouring into the family coffers from apparatchiks of corrupt and anti-American regimes seeking to buy Joe Biden’s political influence — is real and has been thwarted by the Biden Justice Department. Second, the president’s son Hunter Biden received preferential treatment, and, next week, a federal judge should reject the sweetheart plea deal he was given by the Justice Department. Third, Attorney General Merrick Garland owes the country an explanation for why..."
Justice Department Will Review Police Response To Uvalde School Shooting,liberal,"The Justice Department said Sunday it will review the law enforcement response to the Texas school shooting, an unusual federal look back prompted by questions about the shifting and at times contradictory information from authorities that have enraged a community in shock and sorrow.
Department spokesman Anthony Coley said the review would be conducted in a fair, impartial and independent manner and the findings would be made public. The announcement came as President Joe Biden was visiting Uvalde, where he and first lady Jill Biden paid their respects at a memorial to the 19 students..."
Justice Department Will Review Police Response To Uvalde School Shooting,center,"The Department of Justice will review law enforcement’s response to Tuesday’s elementary school shooting in Uvalde, Texas, the agency announced Sunday, after local police were criticized for not quickly confronting the shooter.
The review aims to offer an independent account of law enforcement’s actions on the day of the shooting, and will identify lessons for first responders preparing for future active shooter incidents, DOJ spokesperson Anthony Coley said in a statement.
The review was requested by Uvalde Mayor Don McLaughlin and will be carried out by the DOJ’s Community Oriented..."
Justice Department Will Review Police Response To Uvalde School Shooting,conservative,"The Department of Justice said Sunday it will review the law enforcement response to the mass shooting that killed 19 school children and two adults in Uvalde, Texas.
Justice Department spokesman Anthony Coley said the critical incident review was requested by Uvalde Mayor Don McLaughlin.
“The goal of the review is to provide an independent account of law enforcement actions and responses that day, and to identify lessons learned and best practices to help first responders prepare for and respond to active shooter events,” Mr. Coley said.
The DOJ announced the review as President Biden and first lady Jill Biden..."
Media Emphasizes Trump’s Off-Message Tangents During Economic Policy Speech,liberal,"Donors and allies of former President Donald Trump are concerned that his inability to stay on message and stay away from conspiracy theories is stunting his chances of targeting the momentum of Vice President Kamala Harris.
Trump’s reaction to the upended campaign following the departure of President Joe Biden and the ascension of Harris to the top of the ticket has been to double down on his penchant for abusive messages and attacks.
Allies of Trump see his conspiratorial messages and insults based on race as anything but productive. They want him to focus his attacks on policy issues,..."
Media Emphasizes Trump’s Off-Message Tangents During Economic Policy Speech,center,"Former President Trump on Wednesday tried to narrow his focus to the economy during a speech in North Carolina, blasting Vice President Harris over higher prices and Americans’ financial struggles amid pressure to recalibrate his campaign approach.
Trump delivered remarks to supporters in Asheville that he acknowledged were intended to specifically be about the economy. But the speech mostly resembled his typical rally remarks. He attacked Harris over her laugh and her intelligence, and he went on his usual extended riffs about immigration, making baseless claims that some migrants entering the country are..."
Media Emphasizes Trump’s Off-Message Tangents During Economic Policy Speech,conservative,"Former President Donald Trump tried, somewhat reluctantly, to pivot his campaign Wednesday from hurling personal insults against Vice President Kamala Harris to criticizing her economic record on scourges such as inflation, even as the White House claimed progress on the economy.
Campaigning in North Carolina, Mr. Trump said everyday prices, the cost of auto insurance and credit card debt have exploded and the country will never recover if Democrats get another four years in the White House.
“We will rapidly drive prices down and make America affordable again,” Mr. Trump said in Asheville, North Carolina, in front of..."
China Terminates Cooperation with US After Pelosi's Taiwan Visit,liberal,"China cut off contacts with the United States on vital issues Friday — including military matters and crucial climate cooperation — as concerns rose that the Communist government’s hostile reaction to House Speaker Nancy Pelosi’s Taiwan visit could signal a lasting, more aggressive approach toward its U.S. rival and the self-ruled island.
China’s move to freeze key lines of communication compounded the worsening of relations from Pelosi’s visit and from the Chinese response with military exercises off Taiwan, including firing missiles that splashed down in surrounding waters.
After the White House summoned..."
China Terminates Cooperation with US After Pelosi's Taiwan Visit,center,"U.S. Secretary of State Antony Blinken accused China of “irresponsible steps” on Saturday by halting key communication channels with Washington, and said its Taiwan actions showed a move from prioritising peaceful resolution towards use of force.
His comments came as Chinese aircraft and warships practised on Saturday for an attack on Taiwan, island officials said, part of a raft of steps taken by Beijing after a visit by U.S. House Speaker Nancy Pelosi earlier this week.
China’s retaliation in stopping bilateral processes in eight key areas including defence, narcotics, transnational..."
China Terminates Cooperation with US After Pelosi's Taiwan Visit,conservative,"China said Friday that it will stop accepting deportees from the U.S. as part of its retaliation for House Speaker Nancy Pelosi‘s visit this week to Taiwan.
The move was among nine steps announced by China‘s Foreign Affairs Ministry, along with ending cooperation on transnational crime and drugs, and halting talks on climate change.
It also raises the stakes for the Biden administration, which under U.S. law can punish countries that refuse to cooperate on deportations by refusing to issue new visas to that country’s citizens.
That decision belongs to Homeland Security Secretary Alejandro Mayorkas...."
US Intelligence Reportedly Warned of Possible Taliban Takeover,liberal,"Classified assessments by American spy agencies over the summer painted an increasingly grim picture of the prospect of a Taliban takeover of Afghanistan and warned of the rapid collapse of the Afghan military, even as President Biden and his advisers said publicly that was unlikely to happen as quickly, according to current and former American government officials.
By July, many intelligence reports grew more pessimistic, questioning whether any Afghan security forces would muster serious resistance and whether the government could hold on in Kabul, the capital. President Biden said on July 8 that the..."
US Intelligence Reportedly Warned of Possible Taliban Takeover,center,"In his Monday speech defending America’s chaotic withdrawal from Afghanistan, President Biden said he would not shrink from his share of responsibility.
That would include his decision to bring home U.S. troops, which was made against the recommendations of his top military generals and many diplomats, who warned that a hasty withdrawal would undermine security in Afghanistan, several administration and defense officials said.
The president’s top generals, including Chairman of the Joint Chiefs of Staff Army Gen. Mark Milley, urged Mr. Biden to keep a force of about 2,500 troops, the size..."
US Intelligence Reportedly Warned of Possible Taliban Takeover,conservative,"The top Republican on the House Foreign Affairs Committee pointed to the “rosy picture” the State Department had painted about Afghanistan as opposed to the increasingly “grim” intelligence community assessments in explaining why he believed the Biden administration miscalculated the Taliban takeover so badly.
Rep. Michael McCaul of Texas told the Washington Examiner the Biden administration ignored the bleak assessments from the Pentagon and the intelligence community, and he critiqued the U.S. Representative for Afghanistan Reconciliation, Ambassador Zalmay Khalilzad, who had negotiated the February 2020 deal in Doha, Qatar, with the Taliban..."
Fauci COVID-19 Hearing Provides Platform for Partisan Drama,liberal,"Dr. Anthony Fauci, the top U.S. infectious disease expert until leaving the government in 2022, faced heated questioning Monday from Republican lawmakers about the origins of the COVID-19 pandemic.
A Republican-led subcommittee has spent over a year probing the nation’s response to the pandemic and whether U.S.-funded research in China may have played any role in how it started. Democrats opened the hearing saying the investigation so far has found no evidence that Fauci did anything wrong while missing an important opportunity to prepare for the next scary outbreak.
Fauci – alternately a trusted..."
Fauci COVID-19 Hearing Provides Platform for Partisan Drama,center,"Rep. Marjorie Taylor Greene (R-Ga.) was reprimanded by Rep. Brad Wenstrup (R-Ohio), the chair of the House Oversight and Accountability Select Subcommittee on the Coronavirus Pandemic, for refusing to recognize Anthony Fauci as a doctor while questioning him.
Fauci, who became the face of the administration’s COVID-19 response while serving as head of the National Institute of Allergy and Infectious Diseases, testified before the GOP-led committee on Monday for the first time since retiring.
During Greene’s turn to question him, the Georgia Republican refused to call Fauci “doctor,” and instead referred to him as “Mr. Fauci.”
“Do you..."
Fauci COVID-19 Hearing Provides Platform for Partisan Drama,conservative,"Former National Institutes of Health official Anthony Fauci distanced himself from an aide’s email scandal during a Monday morning hearing before Congress.
David Morens, a longtime senior adviser to Fauci, turned over thousands of emails to the Select Subcommittee on the Coronavirus Pandemic earlier this year, many of which detailed his efforts to circumvent open records laws.
Morens wrote in private emails turned over to the committee that he deleted information that could be subject to a freedom of information request and also suggested that Fauci was trying to “protect” the scientist Peter Daszak, who has been cut off from..."
Federal Judge Reverses California Ban on Assault Weapons,liberal,"A federal judge in California on Friday overturned the state’s three-decade-old ban on assault weapons, which he called a “failed experiment,” prompting a sharp retort from the state’s governor.
California prohibited the sale of assault weapons in 1989. The law was challenged in a suit filed in 2019 against the state’s attorney general by plaintiffs including James Miller, a California resident, and the San Diego County Gun Owners, a political action committee.
The judge, Roger T. Benitez of the U.S. District Court for the Southern District of California, wrote that sections of the..."
Federal Judge Reverses California Ban on Assault Weapons,center,"A federal judge overturned California’s 32-year-old ban on assault weapons, calling the law unconstitutional in a Friday decision that compared AR-15s to Swiss Army knives, setting the stage for an appeals court battle over one of the country’s oldest assault weapons bans. San Diego judge Roger Benitez, an appointee of President George W. Bush, argued firearms like the AR-15 are “ordinary, popular, modern rifles” and are often useful for self defense and sport, so California’s ban runs afoul of the Second Amendment and the Supreme Court’s landmark 2008 D.C. v. Heller decision. The assault weapons ban will not..."
Federal Judge Reverses California Ban on Assault Weapons,conservative,"A federal judge in the Southern District of California ruled late on Friday that California’s controversial “assault weapons” ban is unconstitutional.
“This case is not about extraordinary weapons lying at the outer limits of Second Amendment protection,” Judge Roger T. Benitez wrote. “The banned ‘assault weapons’ are not bazookas, howitzers, or machineguns. Those arms are dangerous and solely useful for military purposes. Instead, the firearms deemed ‘assault weapons’ are fairly ordinary, popular, modern rifles. This is an average case about average guns used in average ways for average purposes.”
“One is..."
US Military Conducts 'Routine Intercept' of Russian Warplanes,liberal,"Two American F-16 warplanes intercepted four Russian aircraft near Alaska, the joint US-Canadian North American Aerospace Defense Command (NORAD) said Tuesday. The ""routine"" intercept of the Russian planes -- which included Tu-95 bomber and Su-35 fighter aircraft -- occurred Monday, NORAD said in a statement.
""Russian aircraft remained in international airspace and did not enter American or Canadian sovereign airspace,"" it said, adding that such Russian activity ""occurs regularly and is not seen as a threat, nor is the activity seen as provocative.""
The Air Defense Identification Zone, or ADIZ, is..."
US Military Conducts 'Routine Intercept' of Russian Warplanes,center,"The U.S. military said it intercepted four Russian warplanes near Alaska on Monday.
North American Aerospace Defense Command (NORAD) said it detected four Russian aircraft, including TU-95 BEAR-H bombers and SU-35 fighter aircraft, entering and operating within the Alaska Air Defense Identification Zone (ADIZ), according to a Tuesday statement from the command.
NORAD officials said they had anticipated the Russian activity and were able to quickly scramble two F-16 fighters to intercept the Kremlin aircraft in the ADIZ, which covers the international airspace outside of the U.S. and Canada near the far northern state.
Two F-35A..."
US Military Conducts 'Routine Intercept' of Russian Warplanes,conservative,"The US diverted four Russian aircraft flying near Alaska Monday in what government officials called a “routine intercept.”
The North American Aerospace Defense Command said Tuesday that it “detected, tracked, positively identified” the four aircraft, which included TU-95 BEAR-H bombers and SU-35 fighter jets.
“NORAD had anticipated this Russian activity and, as a result of our planning, was prepared to intercept it,” the agency said in a statement.
Though the aircraft were operating within the Alaska Air Defense Identification Zone, they remained in international airspace.
The interference occurred just hours after..."
Did News Agencies Use Photos From Pro-Hamas Journalists in Coverage of Israel Attacks?,liberal,"Two international news agencies and The New York Times have denied claims in a viral report alleging that photojournalists may have had prior knowledge of Hamas’ attacks in Israel last month and even possibly “coordinated” with the militant group in order to document the carnage.
An article published by HonestReporting Tuesday asked how photographers working for the Associated Press and Reuters were able to be at the breached border fence between Gaza and Israel early in the early morning of Oct. 7 as Hamas gunmen launched their assault. The article said the journalists’ presence “raises serious ethical questions” and asked if..."
Did News Agencies Use Photos From Pro-Hamas Journalists in Coverage of Israel Attacks?,center,"A number of news outlets have strongly rejected Israeli accusations that four freelance photographers they worked with in Gaza had prior knowledge of the Hamas attacks on 7 October.
Israeli minister Shlomo Karhi said ""certain individuals"" who had worked for Reuters, AP, CNN and the New York Times ""had prior knowledge"".
All four outlets have denied the claims.
The NYT said the ""outrageous"" accusations endangered freelancers.
Hamas launched devastating and unprecedented attacks on southern Israel on 7 October, killing more than 1,400 Israeli civilians and soldiers, and kidnapping more than..."
Did News Agencies Use Photos From Pro-Hamas Journalists in Coverage of Israel Attacks?,conservative,"In response to a Wednesday report indicating that several journalists were embedded with Hamas terrorists in the early stages of their attack on Israel, Israeli prime minister Benjamin Netanyahu’s office issued a sharp condemnation.
“These journalists were accomplices in crimes against humanity; their actions were contrary to professional ethics,” the Prime Minister’s office wrote in a post on X.
“Overnight the GPO (Government Press Office) issued an urgent letter to the bureau chiefs of the media organizations that employed these photographers and sought clarifications on the matter,” the post reads...."
Full Transcript of Devon Archer House Testimony Released,liberal,"Soon after Hunter Biden’s former business partner Devon Archer finished testifying before investigators working for the House Oversight Committee, two top House Republicans joined Sean Hannity’s Fox News program in prime time.
Archer’s testimony was enormously damaging to President Biden, they suggested, with House Oversight Committee Chairman James Comer (R-Ky.) insisting that Archer’s testimony made the bribery allegation he’d first introduced two months ago “more credible.” That allegation centered on the Ukrainian energy company Burisma, where Hunter Biden and Archer once sat on its board.
Archer “said that Hunter Biden..."
Full Transcript of Devon Archer House Testimony Released,center,"House Oversight Committee Chairman James Comer (R-Ky.) on Thursday released the transcript of a closed-door interview the panel conducted with Devon Archer, the former business associate of Hunter Biden whom Republicans view as a key witness in their investigation into the Biden family’s business dealings.
In the days between the interview and the release of the transcript, House members have offered conflicting interpretations of the testimony, with Republicans arguing it proved that President Biden “lied” when he said he had never spoken to his son about his foreign business dealings, and..."
Full Transcript of Devon Archer House Testimony Released,conservative,"Devon Archer, Hunter Biden’s former business partner, provided hours of testimony to the House Oversight Committee on a narrow scope of topics that his attorneys negotiated, the transcript of his closed-door interview showed.
The Oversight Committee released the transcript on Thursday amid competing summaries of Archer’s answers put forward by both Republicans and Democrats.
The transcript painted a more complicated picture of what Archer said about then-Vice President Joe Biden’s alleged involvement in his son’s business and why a Ukrainian energy company, Burisma, wanted to hire Hunter Biden in the..."
Taliban Victories Raise Fears of Complete Afghanistan Takeover,liberal,"Since international troops began withdrawing from Afghanistan in May, the Taliban have carried out a sweeping military campaign and gained control of much of the country’s rural areas. But for months, the insurgents failed to capture major cities — until now.
Over the past six days, the insurgents have overrun nine provincial capitals across the country, most of them clustered in the north, in a major escalation of their military offensive and a devastating setback for the Afghan government.
The Taliban’s rapid victories have put enormous pressure on Afghan political leaders and the country’s..."
Taliban Victories Raise Fears of Complete Afghanistan Takeover,center,"When President Biden this spring announced the decision to withdraw U.S. forces from Afghanistan, his administration expected the Afghan military to defend key cities and perhaps battle the Taliban to a stalemate.
Before the current Taliban offensive, U.S. officials said they didn’t expect the takeover of any provincial capital until fall at the earliest.
Instead, a carefully planned strategy carried out by the Taliban has produced swift battlefield advances, allowing insurgents to seize a succession of provincial capitals since Friday. Three more fell Tuesday, bringing the total to nine, including several major..."
Taliban Victories Raise Fears of Complete Afghanistan Takeover,conservative,"The U.S. assesses that the capital of Afghanistan could fall to the Taliban within the next 90 days, two sources familiar with the matter confirmed to Fox News, just weeks before President Biden plans to completely withdraw U.S. troops from the region following nearly two decades of war.
The Taliban seized three more Afghan provincial capitals and a local army headquarters on Wednesday, attaining control of two-thirds of the nation. The sources said that the intelligence regarding Kabul’s security has been dire for some time.
Pentagon officials told Fox News that the intelligence community updated its assessment..."
"Manchin's Election Bill Compromise Praised by Abrams, Rejected by McConnell",liberal,"Senate Republicans spent months praising Joe Manchin for his insistence on cross-party compromise. Next week they will almost surely end his hopes for a bipartisan deal on elections.
Senate Minority Leader Mitch McConnell said he believed all 50 Republicans would oppose Sen. Manchin’s (D-W.Va.) slimmed-down elections compromise, which focuses on expanding early voting and ending partisan gerrymandering in federal elections. And it’s not clear there’s a single Republican vote to even begin debate on the matter, potentially dooming Manchin's proposals before they can even make it into the bill."
"Manchin's Election Bill Compromise Praised by Abrams, Rejected by McConnell",center,"Senate Minority Leader Mitch McConnell (R-Ky.) said on Thursday that Republicans will oppose a compromise election reform proposal put forward by Sen. Joe Manchin (D-W.Va.).
""I would make this observation about the revised version ... all Republicans I think will oppose that as well if that were to be what surfaced on the floor,"" McConnell told reporters, referring to Manchin's proposal.
McConnell's comments, which came during a press conference with GOP senators railing against the For the People Act, are the latest signal that the election bill will fail during a procedural vote next..."
"Manchin's Election Bill Compromise Praised by Abrams, Rejected by McConnell",conservative,"Senate Republicans Thursday said that they have no intention of supporting Sen. Joe Manchin's proposal for elections legislation, which was intended to be a possible bipartisan compromise in lieu of Democrats' controversial elections proposal S.1.
Senate Minority Leader Mitch McConnell of Kentucky said Thursday that he hopes ""all Republicans"" will oppose the proposal from Manchin, the senior senator from West Virginia, at a press conference that was designed to show Republican unity against S.1.
""It still turns the Federal Election Commission (FEC) from a judge into a prosecutor by taking away the three-three balance..."
Israeli Supreme Court Strikes Down Controversial Judicial Reform,liberal,"Israel's Supreme Court on Monday narrowly struck down a controversial law that's part of the Netanyahu government's judicial overhaul and limited the court's ability to review government decisions.
Why it matters: The dramatic ruling could thrust Israel back into a constitutional and political crisis amid the war in Gaza and concerns about a potential war with Lebanon.
A strong reaction by Israeli Prime Minister Benjamin Netanyahu and his radical right-wing political allies could push former Defense Minister Benny Gantz to leave the emergency unity government that was formed after the Oct. 7 attack.
If Gantz, who is..."
Israeli Supreme Court Strikes Down Controversial Judicial Reform,center,"Israel's Supreme Court has struck down a controversial judicial reform that triggered nationwide protests last year against the Netanyahu government.
The change would have limited the power of the Supreme Court in overturning laws it deemed unconstitutional.
Critics say it would have severely undermined the country's democracy by weakening the judicial system.
There is strong opposition to the current Netanyahu government, seen as the most right-wing in Israeli history.
The Supreme Court's decision to overturn the law passed by the government in 2023 follows months of internal turmoil."
Israeli Supreme Court Strikes Down Controversial Judicial Reform,conservative,"The Israeli Supreme Court delivered Prime Minister Benjamin Netanyahu a major defeat in his efforts to overhaul the country's judicial system on Monday.
The court struck down a component of Netanyahu's reforms that banned judges from overturning government decisions the court deems ""unreasonable."" Netanyahu's government had passed the legislation in July.
In the 8-7 decision, the court argued the law threatened a ""severe and unprecedented harm to the core character of the State of Israel as a democratic country.""
Controversy around Netanyahu's reform efforts led to widespread unrest in Israel throughout the..."
"Justice Alito Reflects on Current Events, Drawing Different Reactions",liberal,"ANALYSIS
On Thursday night, Justice Sam Alito delivered the keynote address at this year’s all-virtual Federalist Society National Lawyers Convention. The Federalist Society, a well-funded network of conservative attorneys, has come under unusual scrutiny after Donald Trump elevated scores of its members to the federal judiciary. Its leaders insist that it is a mere debate club, a nonpartisan forum for the exchange of legal ideas. But Alito abandoned any pretense of impartiality in his speech, a grievance-laden tirade against Democrats, the progressive movement, and the United States’ response to the COVID-19..."
"Justice Alito Reflects on Current Events, Drawing Different Reactions",center,"Supreme Court Associate Justice Samuel Alito delivered candid takes on several divisive issues facing the U.S., from the measures put in place to address the COVID-19 pandemic to tensions between gay rights and religious freedom, during an address to the conservative Federalist Society on Thursday. 
Alito said the restrictions imposed by political leaders in order to contain the coronavirus pandemic have ""resulted in previously unimaginable restrictions on individual liberty"" and denounced recent Supreme Court decisions holding up orders he believed discriminated against religious groups. He argued the pandemic highlighted..."
"Justice Alito Reflects on Current Events, Drawing Different Reactions",conservative,"Religious liberty and free speech are among Americans' personal freedoms potentially imperiled along with government overreach during the coronavirus pandemic, Supreme Court Justice Samuel Alito warned Thursday.
“Tolerance for opposing views is now in short supply,” Alito added in a virtual keynote speech to a conference of the conservative Federalist Society, in which he referenced the current state of discourse in the nation's law schools and the “broader academic community.”
Many recent law school graduates claim they face “harassment” and “retaliation” for any views that depart “from law school orthodoxy,”..."
"Full Trump Indictment Released, 37 Charges Detailed",liberal,"Federal prosecutors unsealed indictments on Friday against former President Donald J. Trump and one of his personal aides, Walt Nauta, revealing devastating new details about a more than yearlong investigation into Mr. Trump’s handling of classified material.
The 49-page indictment, containing 38 counts and seven separate charges, gave the clearest picture yet of the files that Mr. Trump took with him when he left the White House. It said he had illegally kept documents concerning “United States nuclear programs; potential vulnerabilities of the United States and its allies to military..."
"Full Trump Indictment Released, 37 Charges Detailed",center,"The Justice Department on Friday unveiled a 37-count indictment against former President Trump over his handling of classified materials after leaving the White House, offering up an expansive look at the evidence prosecutors collected.
The 49-page document provides significant insight into the nature of the classified documents Trump had kept since leaving the White House in January 2021, allegations about Trump’s moves to obstruct attempts to retrieve the documents and details about instances where Trump is said to have openly shared sensitive government secrets.
Here are five of the biggest revelations from..."
"Full Trump Indictment Released, 37 Charges Detailed",conservative,"Former president Donald Trump is facing 37 criminal counts in connection with his alleged mishandling of classified documents, according to an historic indictment unsealed on Friday that sends the nation into uncharted territory and could upend the Republican presidential race.
Trump, the front-runner for the Republican nomination, is the first former president to face federal charges. He could face years in prison if convicted.
Republicans, including most of Trump’s fellow candidates for the 2024 presidential nomination, have generally circled the wagons around the former president, decrying what they see as..."
"Meta Shuts Down Nearly 9,000 Facebook and Instagram Accounts",liberal,"Meta shut down close to 9,000 Facebook and Instagram accounts, groups and pages associated with a Chinese political spam network that had targeted users in Australia and other parts of the world, the company has revealed.
Meta began investigating in 2019 and its research aligned with several research groups who coined the term Spamouflage, including the Australian Strategic Policy Institute (Aspi).
In a report released by the social media giant on Tuesday, Meta said it had removed 7,704 Facebook accounts, 954 pages, 15 groups and 15 Instagram accounts identified as violating the company’s inauthentic behaviour..."
"Meta Shuts Down Nearly 9,000 Facebook and Instagram Accounts",center,"Facebook parent company Meta (META.O) said on Tuesday it had uncovered links between people associated with Chinese law enforcement and a long-running but largely ineffectual operation to positively influence people on social media about China.
The social media giant removed around 7,700 Facebook accounts and hundreds of other pages, groups and Instagram accounts connected to the so-called ""Spamouflage"" campaign, elements of which have been active since 2018, it said in a quarterly security report.
The ""Spamouflage"" network has engaged in spurts of activity over the last several years pushing positive narratives about..."
"Meta Shuts Down Nearly 9,000 Facebook and Instagram Accounts",conservative,"Meta said it closed thousands of China-linked accounts on its platforms that were participating in the “largest known cross-platform covert influence operation in the world.”
The digital influence campaign spread across more than 50 online platforms, including Meta’s Facebook and Instagram, Google’s YouTube, X, TikTok and Reddit, according to Meta’s Adversarial Threat Report for 2023’s second quarter.
Meta said it linked the influence operation to “individuals associated with Chinese law enforcement.”
“This campaign was run by geographically dispersed operators across China who appeared to be centrally provisioned with internet access..."
Senate Passes Bipartisan $1.2T Infrastructure Bill,liberal,"Washington — The Senate voted to approve a roughly $1 trillion bill to revamp the nation's infrastructure on Tuesday, delivering a bipartisan breakthrough on legislation that includes key portions of President Biden's domestic agenda.
The final vote was 69 to 30, with 19 Republicans joining all 50 Democrats in voting for passage. Senate Minority Leader Mitch McConnell was among the Republicans who voted yes. Vice President Kamala Harris presided over the final vote, and said it was ""a very good day"" before entering the chamber.
The legislation, known as the Infrastructure Investment and..."
Senate Passes Bipartisan $1.2T Infrastructure Bill,center,"The Senate passed a $1 trillion bipartisan infrastructure plan Tuesday, a huge step for Democrats as they try to push President Joe Biden’s sweeping economic agenda through Congress.
The legislation, which includes $550 billion in new funding for transportation, broadband and utilities, got through in a 69-30 vote, as 19 Republicans joined all 50 Democrats. The chamber in a 50-49 party line vote then proceeded to a budget resolution that would allow Democrats to approve what they see as a complementary $3.5 trillion spending plan without Republican votes.
“Today, the Senate takes a decades overdue step to..."
Senate Passes Bipartisan $1.2T Infrastructure Bill,conservative,"A sweeping, $1.2 trillion bipartisan infrastructure package aimed at addressing the maintenance of roads, bridges and broadband easily coasted to passage Tuesday morning after days of debate.
The measure — negotiated by a group of 22 bipartisan lawmakers led by Sens. Kyrsten Sinema (D-Ariz.) and Rob Portman (R-Ohio) — includes $550 billion in new spending, with $110 billion set to be allocated toward roads, bridges and other projects; $65 billion toward broadband, $66 billion to be spent on passenger and freight rail, $55 billion for water infrastructure, $39.2 billion for public transit,..."
White House Afghanistan Report Says Trump 'Severely Constrained' Withdrawal Options,liberal,"The U.S. acknowledged its evacuations from Afghanistan in 2021 should have begun sooner — but largely blamed the Trump administration, according to a newly released National Security Council document outlining key moments.
Why it matters: The chaotic withdrawal from Afghanistan in summer 2021 — a pain point in Biden's presidency that's drawn bipartisan criticism — has also become a growing target of GOP-led congressional investigations.
The Afghanistan withdrawal changed the U.S. protocol on evacuations during other global conflicts, per the NSC's summary of the Biden administration's review of the withdrawal released Thursday.
""We now prioritize earlier evacuations..."
White House Afghanistan Report Says Trump 'Severely Constrained' Withdrawal Options,center,"The White House pinned the chaotic 2021 withdrawal from Afghanistan on the lack of planning from the previous administration and admitted it should have started evacuations sooner but stood by the decision to pull out of the country in a summary of an interagency report released Thursday.
The summary said that the administration was “severely constrained” by actions of former President Donald Trump’s administration, including the 2020 agreement Trump made with the Taliban to withdraw American troops by the spring of 2021.
While the summary acknowledged the evacuation of Americans should have begun sooner,..."
