node_1|node_2|edge|chunk_id
schools and day camps|cdc guidelines|The CDC's recommendations for schools and day camps are also listed in the document.|717ce9baa0eb4eed9b0754070d2ee644
churches and other 'communities of faith'|cdc guidelines|The CDC's guidance for churches and other religious institutions is included in the document.|717ce9baa0eb4eed9b0754070d2ee644
vulnerable workers|employers|The CDC's recommendations for employers with vulnerable workers are listed in the document.|717ce9baa0eb4eed9b0754070d2ee644
restaurants and bars|cdc guidelines|The CDC's suggestions for restaurants and bars are included in the document.|717ce9baa0eb4eed9b0754070d2ee644
mass transit administrators|cdc guidelines|The CDC's recommendations for mass transit administrators are listed in the document.|717ce9baa0eb4eed9b0754070d2ee644
global temperature|hottest global temperature ever recorded|This week saw the hottest global temperature ever recorded, according to data from the US National Centers for Environmental Prediction.|87e29ba6c77b45278f315d00b5ae0580
average global temperature|hottest global temperature ever recorded|On Monday, the average global temperature reached 17.01 degrees Celsius, the highest since records began.|87e29ba6c77b45278f315d00b5ae0580
average global temperature|hottest global temperature ever recorded|On Tuesday, it climbed even further, to reach 17.18 degrees Celsius.|87e29ba6c77b45278f315d00b5ae0580
previous record|hottest global temperature ever recorded|The previous record of 16.92 degrees Celsius was set in August 2016.|87e29ba6c77b45278f315d00b5ae0580
world|may well see a few even higher records this year|Experts warn that the record could be broken several more times this year. Robert Rohde, lead scientist at Berkeley Earth, said in a Twitter post on Tuesday that the world ‘may well see a few even...'|87e29ba6c77b45278f315d00b5ae0580
google|gemini ai chatbot|Google is restricting its Gemini AI chatbot from answering election-related questions in countries where voting is taking place this year, limiting users from receiving information about candidates, political parties and other elements of politics.|4a6ea71c379b45e2958e22bd1a631ed8
election-related queries|gemini ai chatbot|Google has begun to roll out restrictions on the types of election-related queries for which Gemini will return responses in countries where voting is taking place this year.|4a6ea71c379b45e2958e22bd1a631ed8
candidates|election-related queries|Gemini AI chatbot will not provide information about candidates in response to election-related queries in countries where voting is taking place this year.|4a6ea71c379b45e2958e22bd1a631ed8
political parties|election-related queries|Gemini AI chatbot will not provide information about political parties in response to election-related queries in countries where voting is taking place this year.|4a6ea71c379b45e2958e22bd1a631ed8
elements of politics|election-related queries|Gemini AI chatbot will not provide information about other elements of politics in response to election-related queries in countries where voting is taking place this year.|4a6ea71c379b45e2958e22bd1a631ed8
former president donald trump's mar-a-lago estate|classified documents|evidence suggests that classified documents were likely concealed and removed from former President Donald Trump's Mar-a-Lago estate before the FBI search to retrieve them.|81ce5b309ce140e18ec8320157aee62d
fbi agents and justice department attorneys|classified documents|some of the classified documents found at former President Donald Trump's Mar-a-Lago estate were so sensitive that FBI agents and Justice Department attorneys needed additional security clearances to review them after the raid earlier this month.|81ce5b309ce140e18ec8320157aee62d
justice department|appointment of a special master|the Justice Department argues that former President Donald Trump's request to appoint a special master to review the documents is unnecessary and would significantly harm important governmental interests, including national security interests.|81ce5b309ce140e18ec8320157aee62d
house oversight committee chair james comer|tony bobulinski|Comer called Bobulinski the 'one solid guy that tried to do the right thing and was honest' in interviews on Lindell TV's Lou Dobbs Tonight and Newsmax. However, it is unclear whether Comer still holds this opinion after Bobulinski testified during the impeachment inquiry against President Trump.|5969fa79fa654b43adc187bd530e89ae
tony bobulinski|hunter biden's business deals|Bobulinski was a former business associate of Hunter Biden and provided testimony during the impeachment inquiry against President Trump regarding Hunter Biden's business dealings.|5969fa79fa654b43adc187bd530e89ae
tony bobulinski|honesty|Comer and others have praised Bobulinski for being 'honest'|5969fa79fa654b43adc187bd530e89ae
biden-harris administration|information and opportunity to plan for the collapse of afghan government|The Biden-Harris administration had access to necessary information and opportunities to prepare for the eventual fall of the Afghan government during the withdrawal process.|6fcb16babb4a49feae485a95916cba39
biden-harris administration|safely evacuate u.s. personnel|The report suggests that the Biden-Harris administration failed to prioritize the safe evacuation of American citizens amid warnings of an impending collapse in Afghanistan.|6fcb16babb4a49feae485a95916cba39
afghan government|collapsing|The report highlights the fact that there were indications and signs of the Afghan government's imminent collapse during the withdrawal process, but necessary steps to safely evacuate U.S. personnel were not taken by the Biden-Harris administration.|6fcb16babb4a49feae485a95916cba39
america's national debt|$31 trillion|The nation's total public debt outstanding closed at $31.1 trillion on Monday, according to Treasury Department data published Tuesday.|10a14d39e54146a48134898f89b9da51
america's national debt|covid-19 pandemic|The US government went on a borrowing spree during the Covid-19 pandemic to help shore up the nation’s economy as the deadly virus upended lives, labor markets and supply chains.|10a14d39e54146a48134898f89b9da51
covid-19 pandemic|historically high inflation|The nation's total public debt outstanding closed at $31.1 trillion on Monday, according to Treasury Department data published Tuesday, at a time of historically high inflation.|10a14d39e54146a48134898f89b9da51
america's national debt|rising interest rates|The nation's total public debt outstanding closed at $31.1 trillion on Monday, according to Treasury Department data published Tuesday, at a time of rising interest rates.|10a14d39e54146a48134898f89b9da51
america's national debt|growing economic uncertainty|The nation's total public debt outstanding closed at $31.1 trillion on Monday, according to Treasury Department data published Tuesday, at a time of growing economic uncertainty.|10a14d39e54146a48134898f89b9da51
